,Year of Release,Game Title,Game Price,Score,Votes,Genre
533,2016,Zenge,0.99,8.15,2944,Puzzle
534,2016,Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,7.99,8.15,661,Visual Novel
535,2016,SteamWorld Heist,14.99,8.14,4879,Strategy
536,2016,Rec Room,0.0,8.14,50468,Online Co-Op
537,2016,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,29.99,8.14,76029,Anime
538,2016,Planet Coaster,44.99,8.13,59086,Simulation
539,2016,Turmoil,9.99,8.13,11333,Mining
540,2016,Megadimension Neptunia VII,19.99,8.13,3109,Anime
541,2016,SEUM: Speedrunners from Hell,14.99,8.13,2840,3D Platformer
542,2016,Angels of Death,9.99,8.12,4097,Puzzle
543,2016,Zeus + Poseidon,9.99,8.11,1375,City Builder
544,2016,Highway Blossoms,12.99,8.11,2460,Story Rich
545,2016,Out There Somewhere,0.99,8.1,6898,Platformer
546,2016,Death Road to Canada,14.99,8.1,7334,Pixel Graphics
547,2016,Oxenfree,9.99,8.1,10577,Story Rich
548,2016,Beholder,9.99,8.1,23449,Dystopian 
549,2016,Flowers -Le volume sur printemps-,19.99,8.09,1504,Female Protagonist
550,2016,Umineko When They Cry - Question Arcs,24.99,8.09,1579,Great Soundtrack
551,2016,Khimera: Destroy All Monster Girls,0.0,8.09,1321,Platformer
552,2016,Ara Fell: Enhanced Edition,14.99,8.09,1744,RPG
553,2016,Titan Quest Anniversary Edition,19.99,8.08,30480,RPG
554,2016,Brief Karate Foolish,0.0,8.08,2633,Psychological Horror
555,2016,Creeper World: Anniversary Edition,4.99,8.07,675,Strategy
556,2016,ACE Academy,4.99,8.07,1455,Choose Your Own Adventure
557,2016,Stephen's Sausage Roll,29.99,8.07,1335,Puzzle
558,2016,N++ (NPLUSPLUS),14.99,8.06,2795,Precision Platformer
559,2016,Narcissu 10th Anniversary Anthology Project,2.99,8.06,526,Visual Novel
560,2016,Melody's Escape,9.99,8.06,4824,Music-Based Procedural Generation
561,2016,BLUE REVOLVER,14.99,8.06,400,Shoot 'Em Up
562,2016,Poly Bridge,9.99,8.06,15715,Building
563,2016,The Count Lucanor,9.99,8.06,2149,Survival Horror
564,2016,Motorsport Manager,19.99,8.05,12327,Management
565,2016,Recursed,7.99,8.05,431,Puzzle
566,2016,SUPERHOT,7.49,8.05,33850,Action
567,2016,Tattletail,4.99,8.04,3227,Horror
568,2016,Higurashi When They Cry Hou - Ch.4 Himatsubushi,5.99,8.04,467,Visual Novel
569,2016,Bloons TD Battles,0.0,8.04,27244,Tower Defense
570,2016,Hue,2.99,8.03,1968,Adventure
571,2016,ICEY,10.99,8.03,23858,Action
572,2016,Melty Blood Actress Again Current Code,24.99,8.03,3792,Anime
573,2016,Orwell: Keeping an Eye On You,9.99,8.02,14043,Choices Matter
574,2016,Season of 12 Colors,2.99,8.01,1973,Casual
575,2016,Muv-Luv (マブラヴ),29.99,8.01,1014,Visual Novel
576,2016,Lazerbait,0.0,8.01,488,Strategy
577,2016,DoDonPachi Resurrection,29.99,8.0,808,Bullet Hell
578,2016,Accounting (Legacy),0.0,8.0,2460,Adventure
579,2016,Zombie Night Terror,12.99,8.0,3082,Zombies
580,2016,Rocksmith® 2014 Edition - Remastered,29.99,8.0,21158,Music
581,2016,FINAL FANTASY X/X-2 HD Remaster,29.99,8.0,15752,JRPG
582,2016,POSTAL Redux,8.99,8.0,4215,Online Co-Op
583,2016,Dragon's Dogma: Dark Arisen,29.99,8.0,32711,RPG
584,2016,Crush Crush,0.0,7.99,23135,Dating Sim
585,2016,Five Nights at Freddy's: Sister Location,7.99,7.99,9751,Horror
586,2016,Picross Touch,0.0,7.99,1374,Puzzle
587,2016,Overcooked,16.99,7.99,13249,Local Co-Op
588,2016,Valley,14.99,7.98,6356,Adventure
589,2016,Kathy Rain,9.99,7.98,3564,Point & Click
590,2016,Slayaway Camp,8.99,7.98,768,Puzzle
591,2016,Stellaris,39.99,7.98,146455,Space
592,2016,DRAGON BALL XENOVERSE 2,49.99,7.98,40607,Anime
593,2016,Deathsmiles,19.99,7.98,478,Shoot 'Em Up
594,2016,Furi,19.99,7.98,10591,Action
595,2016,Supipara - Chapter 1 Spring Has Come!,14.99,7.98,227,Adventure
596,2016,Move or Die,14.99,7.98,21856,Funny
597,2016,Tricky Towers,14.99,7.97,13262,Party Game
598,2016,Lost Lands: Mahjong,0.0,7.97,4943,Casual
599,2016,Lara Croft GO,9.99,7.97,3199,Puzzle
